Month,Year,PRODUCTS,TRADE,"Quantity (000 Metric Tonnes)","Value in Rupees (Crore)","Value in Dollars (Million US dollar)",date_updated
June,2022,Petcoke,Import,544.26,1461.59,187.20,"2023-11-11 04:00:12"
June,2022,Others&,Import,95.14,765.33,98.03,"2023-11-11 04:00:12"
June,2022,"PRODUCT IMPORT*",Import,3139.59,17894.72,2290.33,"2023-11-11 04:00:12"
June,2022,"TOTAL IMPORT",Import,22580.63,141150.25,18061.16,"2023-11-11 04:00:12"
June,2022,LPG,Export,49.58,409.85,52.53,"2023-11-11 04:00:12"
June,2022,MS!,Export,1161.60,12338.86,1578.60,"2023-11-11 04:00:12"
June,2022,Naphtha$,Export,815.09,5154.59,660.99,"2023-11-11 04:00:12"
June,2022,ATF#,Export,590.80,6051.49,774.35,"2023-11-11 04:00:12"
June,2022,SKO,Export,1.26,12.29,1.58,"2023-11-11 04:00:12"
June,2022,HSD,Export,2456.21,24862.32,3182.56,"2023-11-11 04:00:12"
June,2022,LDO,Export,0.09,0.87,0.11,"2023-11-11 04:00:12"
June,2022,"LOBS/ Lube Oil",Export,1.06,16.67,2.12,"2023-11-11 04:00:12"
June,2022,"Fuel Oil",Export,126.83,612.44,77.11,"2023-11-11 04:00:12"
June,2022,Bitumen,Export,1.06,5.67,0.72,"2023-11-11 04:00:12"
June,2022,"Petcoke / CBFS",Export,35.50,129.88,16.62,"2023-11-11 04:00:12"
June,2022,Others%,Export,267.11,1907.09,243.83,"2023-11-11 04:00:12"
June,2022,"TOTAL  PRODUCT EXPORT",Export,5506.20,51502.03,6591.12,"2023-11-11 04:00:12"
June,2022,"NET IMPORT",Export,17074.43,89648.22,11470.04,"2023-11-11 04:00:12"
July,2022,"CRUDE OIL",Import,20624.25,128755.47,16264.64,"2023-11-11 04:00:12"
July,2022,LPG,Import,1417.22,8397.37,1056.05,"2023-11-11 04:00:12"
July,2022,MS,Import,62.85,619.84,78.02,"2023-11-11 04:00:12"
July,2022,Naphtha,Import,144.88,924.01,116.89,"2023-11-11 04:00:12"
July,2022,ATF,Import,,,,"2023-11-11 04:00:12"
July,2022,HSD,Import,145.80,1491.33,187.70,"2023-11-11 04:00:12"
July,2022,"LOBS/ Lube oil",Import,221.74,2086.71,262.15,"2023-11-11 04:00:12"
July,2022,"Fuel Oil",Import,749.27,3545.67,451.63,"2023-11-11 04:00:12"
July,2022,Bitumen,Import,119.68,451.79,56.76,"2023-11-11 04:00:12"
July,2022,Petcoke,Import,793.23,1787.10,224.51,"2023-11-11 04:00:12"
July,2022,Others&,Import,84.38,618.97,77.76,"2023-11-11 04:00:12"
July,2022,"PRODUCT IMPORT*",Import,3739.05,19922.78,2511.45,"2023-11-11 04:00:12"
July,2022,"TOTAL IMPORT",Import,24363.30,148678.25,18776.09,"2023-11-11 04:00:12"
July,2022,LPG,Export,41.27,309.16,38.91,"2023-11-11 04:00:12"
